title,specialization,salary,age,employment,schedule,experience_years,experience_months,citizenship,sex,link
DevOps,System administrator,,33,"project work, part time, full time","remote working, flexible schedule, full day, shift schedule",10,6,Казахстан,True,https://hh.kz/resume/f632b0e80008abcf850039ed1f66755a4c364b
Системный инженер (DevOps),DevOps-инженер,,39,полная занятость,"удаленная работа, полный день",19,11,Казахстан,False,https://hh.kz/resume/0560ab1b00039ff0a20039ed1f36564e7a3962
DevOps-инженер,DevOps-инженер,100000,36,"частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",14,5,Россия,False,https://hh.kz/resume/a38ba66c000744f71f0039ed1f7646394b6a66
DevOps/Cloud Engineer,"Программист, разработчик",,26,полная занятость,"удаленная работа, гибкий график, полный день, сменный график",4,9,Казахстан,False,https://hh.kz/resume/d13009aa0007ce65a70039ed1f695a53385033
Python developer,DevOps-инженер,1000000,41,"проектная работа, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график",21,5,Казахстан,False,https://hh.kz/resume/0827db430000e72e6e0039ed1f346e34746a4b
DevOps инженер / AWS+terraform+kubernetes / MLOps,"Программист, разработчик",1332210,43,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",16,11,Казахстан,False,https://hh.kz/resume/214731fb0000865b910039ed1f736563726574
CIO/CTO/DevOps/Project Manager/системный администратор,Директор по информационным технологиям (CIO),450000,47,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",19,6,Казахстан,False,https://hh.kz/resume/29a38bdf0001f1aecb0039ed1f315975664b4e
Devops/System Administrator,Системный администратор,500000,29,полная занятость,"полный день, сменный график, удаленная работа",7,8,Казахстан,False,https://hh.kz/resume/83ea941200031fd0f50039ed1f56657a557178
Архитектор 1C,"Programmer, developer",300000,33,"part time, project work, full time","flexible schedule, full day, shift schedule, remote working",14,2,Россия,True,https://hh.kz/resume/508f94a700008efb3d0039ed1f736563726574
Системный администратор,Сетевой инженер,,43,"частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",26,1,Казахстан,False,https://hh.kz/resume/fe5de6670000ba6e910039ed1f736563726574
"Системный администратор, DevOps Junior",DevOps-инженер,110000,24,"стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",3,8,Россия,False,https://hh.kz/resume/15620ebb00091aa6fc0039ed1f4f664957716e
Программист-разработчик 1C,Руководитель группы разработки,1500000,32,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",10,4,Казахстан,False,https://hh.kz/resume/7f1766c2000389d4950039ed1f434a55724977
DevOps Engineer / Системный администратор Linux,DevOps-инженер,1000000,38,"частичная занятость, полная занятость","гибкий график, полный день, удаленная работа",17,9,Россия,False,https://hh.kz/resume/86f4f61500003595390039ed1f736563726574
"IT Analyst,System administrator,application support,devops, webmaster","Программист, разработчик",888140,30,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",8,8,Казахстан,False,https://hh.kz/resume/9c9b49c50002fdf5860039ed1f4d376b376736
"Machine Learning, Team Lead, Senior Web Developer, DevOps",Chief technical officer (CTO),,32,"part time, project work, full time","flexible schedule, full day, shift schedule, rotation based work, remote working",12,5,Казахстан,True,https://hh.kz/resume/ec1cbb1f000314ee3a0039ed1f317352543342
"Директор IT, Архитектор 1С, разработчик 1C, программист","Программист, разработчик",2800000,46,"частичная занятость, проектная работа","гибкий график, вахтовый метод, удаленная работа",29,2,Казахстан,False,https://hh.kz/resume/28b1f58000008c3cc90039ed1f736563726574
DevOps инженер,DevOps-инженер,2664420,41,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",16,5,Казахстан,False,https://hh.kz/resume/20d036d00000cd0b2f0039ed1f446656776e6e
Старший системный администратор,Системный администратор,,29,"проектная работа, стажировка, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график",8,2,Казахстан,False,https://hh.kz/resume/70ed375800028ea18f0039ed1f37784a356c57
Программист PHP,"Программист, разработчик",666105,32,"стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",12,2,Украина,False,https://hh.kz/resume/19173fde0009318d9c0039ed1f7a4c4c707a35
IT Specialist,Tester,,37,"part time, full time","flexible schedule, full day, shift schedule, rotation based work, remote working",16,7,Казахстан,True,https://hh.kz/resume/760b883d00011e81310039ed1f70763453426a
